a,b,c,d,label
1550.61,2015.21,1026.28,711.32,1
1571.58,2062.39,465.9,181.4,1
1563.12,2040.96,513.35,262.8,1
1554.93,2011.92,1083.43,800.65,1
1575.48,2072.41,415.5,100.82,1
1589.98,2101.89,157.6,-197.82,1
1570.07,2046.06,859.59,498.87,1
1577.19,2108.65,169.65,-198.63,1
1582.05,2067.35,591.12,219.05,1
1543.64,2033.12,1253.8,918.81,1
1568.25,2099.92,699.99,389.79,1
1554.49,2068.4,674.39,375.97,1
1533.54,2012.87,1303.49,988.05,1
1541.56,2018.95,1167.84,889.67,1
1554.15,2054.47,960.52,669.49,1
1528.98,2003.89,1479.16,1205.29,1
1546.24,2064.71,953.36,674.66,1
1561.13,2106.38,428.91,148.5,1
1550.65,2066.16,1104.94,853.49,1
1571.49,2110.3,682.84,452.24,1
1581.41,2110.2,613.45,392.35,1
1567.57,2054.25,1057.59,862.14,1
1570.27,2059.8,895.07,711.86,1
1570.65,2076.91,712.61,488.04,1
1546.79,2026.31,1254.93,1068.43,1
1552.75,2021.95,1381.31,1192.42,1
1561.46,2045.34,957.48,759.98,1
1548.16,2009.92,1432.31,1268.6,1
1568.29,2065.69,1051.21,903.5,1
1578.39,2127.49,438.6,260.3,1
1577.15,2093.51,838.15,669.26,1
1589.69,2097.33,682.45,558.74,1
1594.62,2122.76,494.02,330.07,1
1593.98,2113.05,697.87,468.95,1
1577.97,2091.77,975.89,766.54,1
1582.55,2109.32,497.82,282.09,1
1558.81,2080.47,912.8,734.15,1
1552.09,2025.92,1403.54,1311.91,1
1555.1,2081.85,872.51,812.84,1
1553.22,2053.28,1071.52,952.82,1
1548.64,2046.4,1172.79,1059.58,1
1569.47,2094.32,679.84,586.2,1
1559.52,2092.13,735.18,631.71,1
1555.99,2051.69,1243.02,1121.86,1
1571.66,2112.59,634.78,487.23,1
1578.39,2127.57,372.63,251.06,1
1565.63,2066.14,888.36,760.03,1
1563.67,2119.2,484.63,338.68,1
1558.33,2093.43,664.64,527.6,1
1553.78,2075.45,1111.17,1002.25,1
1562.57,2109.43,750.89,589.71,1
1557.36,2073.15,1218.75,1078.87,1
1573.79,2125.42,648.59,538.23,1
1575.53,2096.64,935.15,775.18,1
1572.7,2095.31,949.35,851.46,1
1578.48,2129.05,580.12,459.32,1
1574.34,2112.63,731.73,612.05,1
1579.02,2106.56,860.49,775,1
1579.11,2145.28,500.8,428.06,1
1574.36,2114.91,468.91,346.59,1
1571.9,2103.74,812.54,725.44,1
1569.03,2128.09,548.84,419.29,1
1576.04,2105.62,646.02,573.56,1
1580.87,2105.14,649.69,590.37,1
1578.33,2093.83,611.54,562.94,1
1586.83,2106.67,639.45,628.8,1
1596.85,2116.98,634.79,592.92,1
1604.52,2125.36,618.4,582.27,1
1610.99,2139.06,507.04,476.97,1
1613.2,2146.96,610.81,599.39,1
1619.53,2145.32,591.18,543.56,1
1612.33,2128.24,615.8,553.08,1
1610.51,2135.13,599.55,511.37,1
1611.88,2137.16,548.7,479.49,1
1606.16,2127.73,606.44,531.24,1
1605.32,2136.38,668.12,608.97,1
1609.56,2141.76,707.4,644.24,1
1614.25,2150.15,609.96,540.73,1
1614.53,2149.14,644.52,588.05,1
1609.82,2148.33,614.51,559.14,1
1602.59,2151.8,662.04,597.17,1
1602.55,2149.04,669.87,620.91,1
1607.85,2150.87,587.46,547.2,1
1608.36,2160.11,487.68,432.61,1
1609.99,2152.36,515.23,480.76,1
1612.53,2156.09,591.53,542.25,1
1613.59,2163.96,533.22,449.04,1
1615.96,2149.97,526.19,452.6,1
1617.05,2152.99,460.75,376.31,1
1615.78,2154.93,488.81,417.43,1
1621.34,2150.39,548.66,458.62,1
1622.36,2146,644.8,535.05,1
1620.43,2143.27,566.3,428.29,1
1618.14,2145.02,532.23,430.95,1
1620.61,2144,612.2,519.78,1
1615.91,2144.29,633.57,584.39,1
1622.21,2142.34,687.87,589.87,1
1622.25,2138.72,623.16,511.04,1
1618.24,2139.98,613.45,525.67,1
1617.42,2142.42,564.86,500.03,1
1616.55,2144.87,662.72,594.8,1
1619.31,2150.3,634.33,535.91,1
1626.18,2157.34,570.49,501.68,1
1632.31,2176.3,518.46,451.96,1
1627.83,2172.7,509.51,474.65,1
1629.09,2161.83,590.03,529.38,1
1636.58,2175.9,544.83,502.48,1
1628.87,2170.58,616.85,573.09,1
1625.27,2171.66,645.56,574.49,1
1620.3,2165.29,701.32,608.85,1
1622.78,2179.78,659.29,569.44,1
1621.93,2173.84,611.35,533.83,1
1622.48,2179,680.04,595.9,1
1621.72,2172.55,747.77,672.49,1
1614.14,2172.79,785.33,691.69,1
1617.13,2171.45,691.79,601.77,1
1613.99,2170.51,721.25,656.08,1
1614.65,2170.42,683.75,631.01,1
1626.98,2179.26,756.99,723.53,1
1636.12,2185.91,768.93,702.1,1
1637.69,2189.99,690.59,644.49,1
1648.22,2204.49,596.83,544.39,1
1645.53,2191.11,614.83,578.07,1
1638.37,2190.26,681.63,629.73,1
1650.04,2197.56,628.32,569.46,1
1646.27,2189.45,617.61,553.86,1
1647.22,2192.3,548.94,498.78,1
1640.24,2185.38,590.87,550.83,1
1646.4,2191.96,632.87,582.06,1
1633.24,2181.84,718.54,661.67,1
1643.39,2176.36,653.31,601.44,1
1645.01,2184.35,615.18,577.03,1
1639.88,2177.48,702.12,670.52,1
1632.67,2177.28,752.85,727.75,1
1627.9,2167.81,793.29,744.56,1
1621.53,2157.63,719.17,673.32,1
1618.73,2159.47,719.87,678.11,1
1618.18,2154.62,675.35,653.64,1
1616.14,2164.02,771.36,734.49,1
1616.37,2164.84,747.22,704.24,1
1616.61,2160.09,667.78,628.9,1
1619.06,2163.63,591.65,565.59,1
1619.99,2167.81,597.95,593.94,1
1615.85,2163.25,671.01,661.48,1
1630.36,2176.36,629.61,612.25,1
1627.37,2174.64,626.14,596.65,1
1632.45,2180.38,548.91,525.18,1
1625.64,2178.9,616.4,593.22,1
1629.46,2184.17,651.88,609.43,1
1628.9,2181.39,725.81,662.34,1
1624.79,2185.13,668.41,598.35,1
1628.36,2180.22,620.41,558.06,1
1620.05,2170.98,703.03,635.1,1
1611.51,2168.57,758.83,715.33,1
1625.62,2177.08,810.48,748.84,1
1623.74,2174.07,718.53,661.55,1
1616.78,2169.54,738.02,706.4,1
1614.45,2172.34,689.1,677.62,1
1611.42,2169.29,763.47,747.82,1
1611.8,2173.41,759.37,730.58,1
1612.64,2176.54,679.08,659.85,1
1611.46,2178.44,587.01,555.06,1
1608.23,2170.11,598.44,589.38,1
1612.48,2175.93,687.04,663.96,1
1607.08,2171.14,623.43,591.45,1
1607.19,2178.81,612.92,566.96,1
1602.44,2178.62,536.7,494.46,1
1608.17,2176.22,582.22,549.84,1
1609.17,2175.07,635.82,591.49,1
1609.49,2177.25,720.23,664.99,1
1611.99,2186.69,652.75,603.53,1
1617.58,2184.17,602.76,575.24,1
1618.35,2182.11,698.58,660.41,1
1608.38,2172.34,758.08,720.81,1
1609.42,2176.15,817.14,758.89,1
1614.51,2181.6,738.57,675.25,1
1619.1,2184.55,740.74,711.6,1
1617.01,2177.84,685.67,667.3,1
1612.09,2178.05,772.91,767.32,1
1612.62,2175.97,760.93,733.05,1
1612.09,2169.15,672.83,651.13,1
1618.87,2170.31,596.92,564.73,1
1609.31,2171.83,589.86,580.11,1
1614.7,2176.68,531.49,510.31,1
1622.41,2178.5,482.33,476.3,1
1621.5,2185.28,579.91,570.69,1
1618.05,2181.49,562.3,547,1
1611.13,2186.48,612.81,577.96,1
1608.56,2180,521.13,492.3,1
1603.48,2174.64,537.39,514.73,1
1607.41,2183.35,619.27,597.63,1
1602.04,2179.23,706.59,682.34,1
1606.95,2180.21,689.21,653.89,1
1605.57,2178.76,611.42,592.7,1
1603.69,2171.92,661.08,657.63,1
1603.64,2172.19,662.96,675.33,1
1615,2184.5,749.24,761.95,1
1619.22,2190.96,690.35,692.74,1
1614.37,2181.65,640.47,650.65,1
1609.46,2172.53,558.79,587.92,1
1600.23,2163.27,620.25,650.88,1
1597.15,2166.48,672.52,680.56,1
1596.42,2163.54,588.18,585.21,1
1594.82,2166.21,528.87,507.1,1
1604.39,2168.62,465.47,459.88,1
1606.01,2173.79,559.4,552.09,1
1610.91,2181.87,562.77,544.8,1
1604.91,2178.75,604.07,568.54,1
1613.36,2178.04,512.28,468.19,1
1611.44,2175.07,518.14,490.09,1
1614.22,2181.34,602.24,557.11,1
1618.11,2188.45,699.45,659.93,1
1625.56,2197.19,703.56,644.28,1
1622.06,2182.84,623.26,570.86,1
1618.51,2183.52,690.9,658.82,1
1611.66,2179.05,704.82,676.42,1
1608.82,2177.4,781.63,750.2,1
1611.13,2176.59,726.89,690.71,1
1605.75,2173.54,674.98,645.23,1
1603,2166.26,576.31,557.6,1
1598.42,2168.2,630.2,615.13,1
1610.12,2174.1,685.13,662.7,1
1613.48,2178.68,584.34,576.13,1
1622.73,2185.71,527.72,505.56,1
1627.53,2191.65,491.07,479.46,1
1625.57,2195.76,587.24,577.64,1
1617.96,2185.61,586.42,555.82,1
1610.12,2181.01,646.35,593.57,1
1608.12,2177.44,550.88,498.15,1
1602.31,2169.26,553.25,519.62,1
1604.01,2169.3,635.53,604.78,1
1602.37,2170.36,719.82,680.84,1
1607.77,2179.54,707.14,659.26,1
1612.07,2173.02,620.97,576.37,1
1610.83,2171.36,670.78,643.23,1
1613.95,2174.82,678.64,666.3,1
1613.09,2174.06,768.36,746.96,1
1627.65,2194.62,727.72,702.5,1
1626.64,2187.48,669.22,649.12,1
1627.4,2182.05,588.53,574.74,1
1621.91,2174.21,648.36,644.05,1
1614.94,2169.73,692.6,671.91,1
1603.62,2159.41,606.85,571.98,1
1609.27,2165.96,555.66,507.99,1
1612.03,2162.89,485.53,460.27,1
1608.86,2163.79,582.05,550.89,1
1607.28,2168.29,577.27,526.44,1
1615.9,2179.55,632.31,576.48,1
1624.42,2179.27,547.59,481.39,1
1616.25,2171.31,548.11,508.82,1
1615.17,2173.19,625.51,568.73,1
1610.43,2173.71,728.69,670.72,1
1609.5,2177.12,735.03,656.14,1
1604.58,2173.8,648.9,584.17,1
1601.5,2169.71,706.43,651.56,1
1603.14,2164.98,712.57,663.5,1
1609.08,2168.6,789.84,735.51,1
1604.42,2165.54,726.39,667.75,1
1600.69,2160.57,668.34,626.99,1
1603.23,2157.41,566.95,542.89,1
1600.66,2159.41,619.59,596.79,1
1609.26,2159.24,680.38,647.64,1
1611.8,2162.36,585.59,556,1
1615.39,2161.52,679.95,657.49,1
1616.5,2162.46,681.13,645.07,1
1616.73,2161.82,736.9,684.67,1
1622.01,2167.38,648.79,586.78,1
1618.28,2160.98,644.17,597.75,1
1612.13,2161.46,736.35,669.85,1
1606.34,2168.87,825.57,760.34,1
1599.9,2158.54,822.83,737.13,1
1603.33,2161.13,740.11,652.49,1
1594.85,2150.65,786.18,709.75,1
1599.2,2152.69,784.69,726.27,1
1593.93,2147.82,875.28,807.43,1
1597.76,2151.85,817.2,748.36,1
1590.69,2144.08,760.34,706.5,1
1593.39,2148.63,674.8,635.92,1
1592.93,2145.19,734.26,704.87,1
1596.72,2160.76,788.97,742.21,1
1593.02,2158.57,692.22,645.76,1
1594.09,2156.01,634.73,572.26,1
1599.6,2156.63,570.37,512.9,1
1592.57,2154.76,664.32,613.02,1
1590.95,2149.62,665.42,601.19,1
1591.89,2156.6,728.22,650.41,1
1588.36,2150.56,636.71,567.16,1
1588.74,2152.25,647.52,582.41,1
1595.16,2147.35,733.05,665.71,1
1597.11,2151.3,823.82,747.95,1
1598.7,2156.37,833.77,749.07,1
1597.11,2161.9,736.58,662.5,1
1597.73,2161.87,786.47,717.71,1
1599.55,2156.09,784.17,721.02,1
1595.59,2154.44,874.44,802.74,1
1589.59,2149.34,812.11,726.49,1
1596.32,2145.82,759.47,684.89,1
1591.71,2140.41,664.79,592.2,1
1586.77,2131.69,722.94,664.31,1
1584.53,2133.76,785.04,705.92,1
1590.63,2135.69,694.89,620.51,1
1583.78,2131.8,633.88,558.77,1
1589.01,2133.99,583.55,515.92,1
1583.54,2127.75,667.85,597.45,1
1592.99,2135.96,671.61,600.58,1
1589.07,2142.5,731.29,643.78,1
1590.47,2140.43,631.13,541.91,1
1595.59,2145.31,622.16,562.2,1
1597.87,2153.91,717.6,639.7,1
1603.39,2152.2,811.59,737.5,1
1607.8,2152.91,819.27,729.24,1
1609.2,2156.7,739.11,646.53,1
1603.18,2149.59,794.76,707.13,1
1601.34,2150.14,794.69,707.93,1
1594.62,2148.77,888.13,795.7,1
1595.67,2143.48,819.56,751.61,1
1595,2141.91,914.53,841.96,1
1602.29,2143.41,822.53,742.14,1
1597.01,2142.98,807.38,741.74,1
1600.94,2143.94,891.72,825.46,1
1610.33,2154.2,845.6,770.9,1
1611.31,2154.19,858.51,772.44,1
1616.22,2156.89,778.6,703.52,1
1611.61,2153.31,836.19,767.63,1
1610.71,2156.83,907.08,815.78,1
1598.24,2148.86,999.05,904.84,1
1594.58,2148.94,945.3,826.07,1
1592.58,2144.61,880.13,776.12,1
1590.71,2141.16,968.41,863.79,1
1586.94,2141.56,1016.99,921.66,1
1586.18,2145.02,1072.97,959.04,1
1587.25,2147.17,974.07,863.21,1
1597.51,2153.45,974.87,875.57,1
1598.07,2159,913.33,834.22,1
1593.7,2153.01,998.2,928.08,1
1592,2152.72,1005.46,916.62,1
1594.68,2151.41,920.77,822.89,1
1590.76,2150.94,825.69,732.33,1
1590.72,2155.92,826.3,751.44,1
1582.58,2150.42,921.37,841.73,1
1582.93,2149.53,872.23,774.34,1
1581.49,2153.53,883.45,772.21,1
1581.8,2150.99,785.22,679.86,1
1583.43,2151.23,836.83,748.92,1
1580.43,2158.53,893.74,791.67,1
1582.53,2162.23,994.87,867.94,1
1589.3,2163.84,942.34,813.17,1
1587.63,2163.46,874.59,760.94,1
1592.9,2168.76,971.27,863.9,1
1582.62,2159.52,1022.74,921.87,1
1584.29,2161.29,1093.21,972.96,1
1584.35,2156.99,999.91,889.34,1
1586.04,2157.6,998.87,899.58,1
1583.48,2146.34,932.82,851.3,1
1582.91,2138.79,1011.67,929.01,1
1583.46,2148.68,1017.82,923.29,1
1583.65,2145.76,916.07,830.49,1
1586.59,2151.96,821.32,741.62,1
1586.41,2148.4,805.6,741.14,1
1591.87,2159.37,910.31,832.05,1
1598.11,2162.65,857.1,773.14,1
1607.12,2174.58,880.37,774.43,1
1605.07,2173.22,787.8,688.54,1
1599.84,2164.08,832.89,756.69,1
1593.43,2157.77,906.5,810.3,1
1592.14,2157.32,1005.35,904.15,1
1589.76,2157.13,952.28,850.01,1
1580.99,2148.88,889.68,802.99,1
1577.32,2148.67,976.16,878.35,1
1575.86,2150.9,1021.76,931.92,1
1585.09,2157.9,1089.15,983.87,1
1586.25,2164.4,995.91,897.73,1
1580.93,2156.67,977.47,887.16,1
1585.87,2163.55,906.42,825.61,1
1588.75,2170.49,1009.62,924.87,1
1588.69,2171.8,1031.32,931.3,1
1593.07,2170.36,945.61,857.99,1
1590.97,2167.95,853.08,761.43,1
1589,2160.64,841.4,763.8,1
1582.91,2158.08,929.01,847.53,1
1583.11,2163.33,881.71,790.55,1
1598.74,2173.58,902.98,797.72,1
1602.71,2175.92,801.66,703.88,1
1601.24,2181.48,852.26,762.27,1
1610.75,2188.77,916.7,816.2,1
1614.95,2186.63,1012.87,903.69,1
1613.88,2192.07,958.12,847.94,1
1614.82,2192.53,895.76,794.54,1
1614.43,2194.47,997.73,889.28,1
1612.49,2185.16,1048.92,948.59,1
1601.85,2183.27,1116.15,1000.63,1
1605.5,2184.34,1026.5,914.51,1
1599.72,2173.72,1020.11,928.75,1
1593.93,2175.37,940.99,877.66,1
1594.35,2169.67,1032.59,974.54,1
1594.83,2174.33,1045.5,960.29,1
1597.97,2175.36,945.82,878.76,1
1608.54,2190.33,857.95,774.55,1
1610.8,2187.03,835.73,781.24,1
1608.11,2192.3,936.96,868.74,1
1618.63,2197.43,890.29,816.26,1
1610.14,2193.13,913.45,833.94,1
1613.17,2193.87,824.16,749.69,1
1606.59,2185.74,866.8,784.32,1
1600.31,2180.48,933.22,840.47,1
1596.22,2176.88,1022.38,918.65,1
1596.18,2178.3,961.25,854.92,1
1597.08,2176.21,886.34,793.64,1
1594.38,2175.61,974.73,880.33,1
1593.28,2173.81,1016.39,936.26,1
1591.53,2172.85,1082.61,996.75,1
1605.32,2184.21,998,904.74,1
1611.93,2197.16,985.29,911.69,1
1614.49,2193.21,922.87,870.02,1
1612.57,2191.82,1014.79,969.01,1
1614.32,2194.96,1040.02,970.94,1
1610.91,2192.06,944.85,879.71,1
1611.24,2198.91,856.95,799.65,1
1615.33,2196.42,836.7,798.22,1
1605.02,2191.95,941.19,885.81,1
1610.62,2194.12,883.76,813.83,1
1609.81,2196.53,908.49,813.7,1
1609.59,2190.15,800.48,718.52,1
1603.9,2181.67,844.95,764.16,1
1608.2,2187.12,916.49,812.29,1
1604.77,2186.12,1025.98,916.66,1
1609.67,2191.77,988.12,866.46,1
1603.18,2181.49,923.78,817.92,1
1608.55,2188.63,1015.35,909.7,1
1602.86,2180.65,1053.02,959.43,1
1595.41,2177.45,1125.31,1003.17,1
1601.53,2182.65,1036.15,907.77,1
1594.13,2173.55,1003.42,892.07,1
1600.84,2176.16,933.55,834.99,1
1592.92,2168.82,1012.86,917.08,1
1588.29,2173.43,1029.1,924.76,1
1598.25,2176.86,924.22,833.66,1
1599.13,2175.95,845.67,754.26,1
1595.91,2167.26,832.72,763.31,1
1602.64,2169.6,936.04,855.27,1
1604.54,2172.16,893.45,804.53,1
1603.26,2180.5,919.78,811.81,1
1602.39,2179.68,812.16,720.95,1
1609.62,2179.63,858.65,769.43,1
1605.02,2177.66,934.46,821.69,1
1600.19,2172.31,1028.11,905.57,1
1597.13,2168.48,975.86,844.3,1
1591.06,2163.82,1060.14,934.89,1
1592.65,2174.16,1082.58,939.76,1
1589.51,2167.52,979.08,842.54,1
1585.99,2162.74,1017.66,898.58,1
1583.57,2156.08,999.88,900.97,1
1591.92,2164.63,1108.6,1001.52,1
1595.05,2169.4,1079.38,958.73,1
1588.43,2168.16,1016.99,909.57,1
1581.49,2166.45,918.57,812.49,1
1571.03,2155.44,960.02,864.26,1
1566.89,2149.97,1026.23,897.3,1
1572.96,2149.28,935,806.34,1
1574.6,2153.14,886.5,750.09,1
1579.52,2152.79,812.87,679.26,1
1578.13,2151.58,897.47,770.13,1
1580.88,2158.26,913.12,774.98,1
1578.98,2163.01,987.1,833.05,1
1581.98,2170.69,904.67,761.28,1
1578.94,2164.34,882.96,764.1,1
1576.53,2156.95,980.5,860.81,1
1574.8,2156.24,1063.38,942.53,1
1577.57,2156.23,1078.46,932.7,1
1578.24,2152.85,979.87,827.59,1
1571.93,2155.7,1024.63,886.13,1
1565.71,2149.8,1003.06,875.16,1
1565.32,2143.91,1108.58,967.86,1
1570.72,2148.59,1062.46,929.01,1
1573.71,2152.22,992.47,859.56,1
1576.05,2148.05,886.41,756.13,1
1576.16,2148.8,935.68,821.51,1
1572.11,2143.26,1003.58,868.82,1
1582.22,2152.85,920.76,795.19,1
1578.37,2149.66,884,728.01,1
1582.51,2139.54,809.73,666.07,1
1575.47,2139.95,896.2,758.43,1
1573.47,2135.72,916.49,755.36,1
1569.11,2133.68,987.49,807.01,1
1570.29,2130.77,896.95,717.38,1
1562.01,2118.69,862.07,708.96,1
1567.06,2126.64,962.5,808.62,1
1566.34,2119.87,1055.36,906.1,1
1567.88,2117.71,1077.17,918.34,1
1567.42,2125.38,981.57,835.15,1
1573.6,2127.76,1034.1,895.79,1
1568.12,2125.71,1012.46,886.67,1
1565.45,2125.28,1107.22,974.51,1
1563.61,2127.69,1064.52,920.42,1
1560.06,2120.66,990.49,857.07,1
1562.46,2125.43,882.22,754.39,1
1553.21,2118.06,917.07,802.85,1
1556.3,2121.11,985.97,852.66,1
1561.99,2124.38,903.03,762,1
1564.2,2129.63,864.37,723.2,1
1557.88,2127.02,788.59,658.51,1
1566.91,2126.85,883.44,751.57,1
1569.95,2131.6,909.75,771.25,1
1568.17,2137.87,988.38,835.1,1
1569.51,2134.27,907.2,759.33,1
1562.06,2127.27,880.4,762.58,1
1565.41,2128.14,982.36,851.4,1
1561.92,2132.3,1062.04,928.28,1
1565.9,2134.41,1082.29,937.04,1
1571.66,2138.98,977.01,839.94,1
1564.65,2131.32,1010.13,878.62,1
1563.56,2124.61,977.82,857.32,1
1561.08,2124.26,1077.11,957.99,1
1569.31,2130.72,1046.92,914.79,1
1563.1,2125.71,973.99,854.27,1
1566.43,2127.16,880.69,770.62,1
1567.73,2125.8,920.84,828.24,1
1558.14,2119.66,1002.08,883.7,1
1564.23,2126.91,911.23,793.54,1
1576.24,2130.31,868.04,742.98,1
1577.6,2130.98,789.12,667.85,1
1569.3,2124.99,866.9,744.72,1
1574.78,2139.57,897.41,753.47,1
1581.61,2142.27,974.27,812.73,1
1588.3,2146.39,887.06,717.9,1
1586.21,2146.13,866.63,719.02,1
1581.91,2136.11,962.26,810.57,1
1575.59,2139.19,1052.79,909.76,1
1580.06,2147.33,1085.33,925.67,1
1582.26,2147.06,991.48,834.7,1
1581.45,2146.86,1027.49,885.42,1
1583.34,2138.37,996.41,875.66,1
1581.49,2141.58,1098.25,963.96,1
1578.7,2143.1,1059,912.34,1
1575.83,2139.38,979.57,847.81,1
1577.97,2137.32,879.48,755.26,1
1574.19,2131.08,906.1,792.2,1
1571.24,2129.88,982.54,852.42,1
1572.49,2133.92,905.39,769.9,1
1572.16,2126.15,865.31,727.53,1
1571.62,2126.15,793.55,669.88,1
1573.71,2127.08,889.67,770.82,1
1570.86,2123.47,907.38,768.07,1
1570.24,2121.69,982.03,814.07,1
1568.87,2126.95,899.83,726.17,1
1570.72,2129.91,871.06,713.66,1
1568.68,2129.07,958.6,815.82,1
1573.28,2130.61,1043.45,900.87,1
1572.95,2126.7,1073.08,904.29,1
1573.88,2130.17,970.48,809.64,1
1571.84,2127.43,1004.78,849.48,1
1572.81,2128.73,978.67,839.07,1
1567.64,2128.74,1078.07,937.72,1
1572.11,2135.95,1048.78,907.56,1
1565.59,2131.79,974.8,827.71,1
1567.68,2130.44,871.13,735.75,1
1560.21,2133.5,906.47,784.29,1
1560.64,2130.76,980.93,841,1
1561.28,2133.15,900.95,767.46,1
1571.25,2135.94,867.01,726.05,1
1576.53,2138.77,789.3,661.61,1
1577.34,2138.33,878.95,752.27,1
1578.02,2141.53,900.09,769.82,1
1583.18,2143.74,982.75,843.99,1
1586.66,2149.97,906.48,766.62,1
1587.28,2147.49,873.57,765.98,1
1594.44,2154.59,984.19,849.39,1
1585.62,2152.53,1057.08,930.65,1
1587.35,2157.56,1095.9,945.75,1
1588.27,2155,990.79,843.8,1
1581.93,2149.92,1024.14,886.81,1
1576.76,2143.25,988.19,872.57,1
1574.09,2139.77,1086.98,965.89,1
1578.46,2146.25,1051.04,927.21,1
1578.42,2141.22,970.92,857.82,1
1582.21,2146.37,873.07,767.21,1
1584.99,2148.14,905.59,815.44,1
1582.68,2154.52,992.9,882.26,1
1587,2154.86,897.3,789.4,1
1594.24,2162.59,865.49,746.03,1
1585.14,2154.98,778.22,683.64,1
1591.41,2158.26,814.69,705.26,1
1586.98,2160.92,709.61,620.2,1
1591.13,2155.22,743.29,664.55,1
1588.16,2159.85,822.36,729.3,1
1594.11,2171.18,938.48,843.46,1
1593.93,2172.44,900.05,797.93,1
1595.65,2165.45,812.71,729.86,1
1598.6,2170.68,901.04,824.24,1
1593.83,2162.13,928.63,856.21,1
1591.73,2163.67,1012.85,927.74,1
1595.69,2169.27,939.6,838.66,1
1586.89,2162.23,904.31,827.95,1
1591.08,2169.91,826.08,769.69,1
1592.82,2173.67,916.29,862.87,1
1601.69,2179.97,954.1,878.71,1
1601.09,2182.52,843.94,775.49,1
1593.73,2174.95,760.15,687,1
1592.31,2172.5,727.23,672.99,1
1590.04,2166.95,826.96,762.63,1
